"Club","Points","GF","GA","GD","Group","Europa","n_teams","Rank","Elo","Tilt","Pass"
"Dukla",45,41,35,6,"CZE",1,16,5,1288.5020752,1.21169447366675,1
"Hradec Kralove",44,37,29,8,"CZE",1,16,6,1427.42712402,1.33421444239989,1
"Jablonec",42,35,31,4,"CZE",1,16,7,1488.07983398,1.29091332085238,1
"Karvina",41,34,47,-13,"CZE",1,16,8,1330.63317871,1.27053050077816,1
"Slovan Liberec",40,37,36,1,"CZE",1,16,9,1420.46691895,1.28763044584048,1
"Teplice",40,32,38,-6,"CZE",1,16,10,1364.72058105,1.16491156046898,1
"Banik Ostrava",39,46,41,5,"CZE",1,16,11,1525.75,1.37860605347986,1
"Bohemians Praha",38,27,39,-12,"CZE",1,16,12,1355.88806152,1.26242121162801,1
"Slovacko",35,33,39,-6,"CZE",1,16,13,1320.97827148,1.36380543559897,1
"Sigma Olomouc",32,40,47,-7,"CZE",1,16,14,1384.57910156,1.279733667564,1
"Ceske Budejovice",26,22,69,-47,"CZE",1,16,15,1153.98828125,1.32786997991675,1
"Pardubice",23,25,60,-35,"CZE",1,16,16,1270.84509277,1.327247661053,1
"Lech",65,65,35,30,"POL",1,19,1,1532.71276855,1.34156670829202,0
"Rakow",62,76,49,27,"POL",1,19,2,1536.67834473,1.363449150488,0
"Slask",61,66,44,22,"POL",1,19,3,1377.68811035,1.34681579093329,0
"Katowice",58,44,39,5,"POL",1,19,4,1388.51147461,1.30606394696226,0
"Gornik",58,54,52,2,"POL",1,19,5,1411.67602539,1.27101671483255,0
"Cracovia",56,52,44,8,"POL",1,19,6,1407.8190918,1.33148343434525,0
"Legia",54,50,50,0,"POL",1,19,7,1490.91125488,1.27072239480393,0
"Korona",53,53,55,-2,"POL",1,19,8,1390.20080566,1.34929558731024,0
"Widzew",51,41,47,-6,"POL",1,19,9,1346.42041016,1.31232306537209,0
"Jagiellonia",50,55,44,11,"POL",1,19,10,1485.85668945,1.25642991770462,0
"Pogon",50,54,49,5,"POL",1,19,11,1482.17431641,1.33404118369571,0
"Motor Lublin",48,48,55,-7,"POL",1,19,12,1349.67553711,1.3149437200771,0
"Stal Mielec",48,41,56,-15,"POL",1,19,13,1324.87597656,1.29360784233236,0
"Piast Gliwice",46,43,45,-2,"POL",1,19,14,1422.59057617,1.32023670677587,0
"Radomiak",46,35,45,-10,"POL",1,19,15,1367.92749023,1.32977217270242,0
"Lechia",45,48,52,-4,"POL",1,19,16,1334.63244629,1.36495843001435,0
"Lubin",43,52,62,-10,"POL",1,19,17,1344.3939209,1.32844512047284,0
"Wisla",39,37,52,-15,"POL",1,19,18,1306.31396484,1.31170793438844,0
"Puszcza Niepolomice",23,25,64,-39,"POL",1,19,19,1300.0793457,1.31857675245684,0
"Wolfsberg",42,42,24,18,"AUT",1,12,1,1480.16235352,1.27984798043842,0
"LASK",41,26,20,6,"AUT",1,12,2,1443.68151855,1.33304403793699,0
"Salzburg",39,44,23,21,"AUT",1,12,3,1558.85534668,1.37060952803252,0
"Austria Wien",39,33,20,13,"AUT",1,12,4,1476.18188477,1.32239528154049,0
"Sturm Graz",36,38,23,15,"AUT",1,12,5,1553.17565918,1.3114968974922,0
"GAK",36,32,29,3,"AUT",1,12,6,1271.65209961,1.26336630343904,0
"Rapid Wien",31,30,24,6,"AUT",1,12,7,1436.13745117,1.28325933799648,0
"Hartberg",24,24,32,-8,"AUT",1,12,8,1376.58984375,1.28461722524337,0
"Wattens",24,27,46,-19,"AUT",1,12,9,1276.56164551,1.33530742444551,0
"BW Linz",23,26,34,-8,"AUT",1,12,10,1339.27709961,1.32086045475398,0
"Altach",19,18,35,-17,"AUT",1,12,11,1278.7043457,1.21967358467164,0
"Klagenfurt",15,14,44,-30,"AUT",1,12,12,1264.28808594,1.31344607053521,0
"Bodoe Glimt",66,70,23,47,"NOR",1,16,1,1616.89807129,1.31310596110833,0
"Kristiansund",51,45,31,14,"NOR",1,16,2,1312.94335938,1.34785893677783,0
"Rosenborg",51,45,33,12,"NOR",1,16,3,1479.81652832,1.27745861537389,0
"Viking",47,49,32,17,"NOR",1,16,4,1527.25927734,1.34933905162804,0
"KFUM Oslo",45,40,40,0,"NOR",1,16,5,1297.58227539,1.31565268604021,0
"Haugesund",44,35,49,-14,"NOR",1,16,6,1265.59619141,1.24841402038492,0
"Brann",42,45,38,7,"NOR",1,16,7,1497.65393066,1.33910397528718,0
"Fredrikstad",39,35,45,-10,"NOR",1,16,8,1391.56896973,1.24193558607512,0
"Ham-Kam",37,37,41,-4,"NOR",1,16,9,1325.42089844,1.28600475041005,0
"Stromsgodset",37,40,50,-10,"NOR",1,16,10,1325.36743164,1.36816724693504,0
"Sandefjord",36,37,36,1,"NOR",1,16,11,1352.60778809,1.31024720955636,0
"Bryne",35,36,51,-15,"NOR",1,16,12,1308.08203125,1.30883011798295,0
"Sarpsborg",34,36,33,3,"NOR",1,16,13,1394.88232422,1.30442675703925,0
"Molde",34,44,52,-8,"NOR",1,16,14,1458.12585449,1.27818028348848,0
"Valerenga",32,28,51,-23,"NOR",1,16,15,1299.21533203,1.29414957825062,0
"Tromso",27,22,39,-17,"NOR",1,16,16,1403.46374512,1.26456615060509,0
"Hammarby",62,50,27,23,"SWE",1,16,1,1522.63391113,1.32990154224942,0
"Elfsborg",55,50,25,25,"SWE",1,16,2,1522.04467773,1.27181539766323,0
"Malmoe",54,46,28,18,"SWE",1,16,3,1521.03540039,1.30310300620416,0
"Djurgarden",52,53,29,24,"SWE",1,16,4,1460.47021484,1.3224304137194,0
"AIK",49,54,37,17,"SWE",1,16,5,1477.94763184,1.29723563264923,0
"IK Sirius",46,44,40,4,"SWE",1,16,6,1371.16271973,1.34123699096266,0
"Mjaellby",45,48,27,21,"SWE",1,16,7,1493.09875488,1.29465504291664,0
"Haecken",44,35,43,-8,"SWE",1,16,8,1399.73974609,1.39919740834421,0
"Norrkoeping",40,36,41,-5,"SWE",1,16,9,1323.95727539,1.27372245482103,0
"GAIS",39,41,43,-2,"SWE",1,16,10,1372.57067871,1.29138100292833,0
"Halmstad",37,37,46,-9,"SWE",1,16,11,1280.05810547,1.32826886091352,0
"Goeteborg",36,42,41,1,"SWE",1,16,12,1366.38745117,1.32277126443588,0
"Varnamo",33,31,46,-15,"SWE",1,16,13,1282.04333496,1.34336690378867,0
"Brommapojkarna",31,32,46,-14,"SWE",1,16,14,1302.8112793,1.33349695393853,0
"Oester",29,31,63,-32,"SWE",1,16,15,1252.09887695,1.31593009210997,0
"Degerfors",18,20,68,-48,"SWE",1,16,16,1251.06201172,1.30956359873255,0
"Panathinaikos",59,62,30,32,"GRE",1,14,1,1535.48669434,1.65277777777778,0
"PAOK",55,61,27,34,"GRE",1,14,2,1544.87280273,1.68055555555556,0
"Olympiakos",52,73,25,48,"GRE",1,14,3,1670.36560059,1.58333333333333,0
"AEK",50,53,22,31,"GRE",1,14,4,1516.50268555,1.59722222222222,0
"Atromitos",39,34,38,-4,"GRE",1,14,5,1330.74499512,1.34926470588235,0
"Aris",36,42,42,0,"GRE",1,14,6,1445.51269531,1.31944444444444,0
"Levadeiakos",35,40,49,-9,"GRE",1,14,7,1325.5090332,1.28627304190234,0
"OFI",34,28,44,-16,"GRE",1,14,8,1302.8425293,1.30514705882353,0
"Panetolikos",29,27,46,-19,"GRE",1,14,9,1291.86462402,1.28860294117647,0
"Panserraikos",28,38,52,-14,"GRE",1,14,10,1238.79187012,1.36580882352941,0
"NFC Volos",27,35,44,-9,"GRE",1,14,11,1262.30859375,1.38694852941176,0
"Kalithea",25,29,51,-22,"GRE",1,14,12,1247.60107422,1.33002644201093,0
"Lamia",23,31,52,-21,"GRE",1,14,13,1158.99023438,1.69444444444444,0
"Asteras Tripolis",19,27,58,-31,"GRE",1,14,14,1305.14465332,1.43566176470588,0
"Porto",75,69,23,46,"POR",1,18,1,1678.19543457,1.32352941176471,2
"Braga",70,69,38,31,"POR",1,18,2,1650.64880371,1.77941176470588,2
"Benfica",67,68,23,45,"POR",1,18,3,1791.48046875,1.54411764705882,2
"Sporting",60,73,42,31,"POR",1,18,4,1788.60021973,1.83823529411765,2
"Guimaraes",59,42,32,10,"POR",1,18,5,1576.27685547,1.32352941176471,2
"Arouca",50,55,58,-3,"POR",1,18,6,1471.92883301,1.52941176470588,2
"Santa Clara",48,39,46,-7,"POR",1,18,7,1484.93884277,1.31940566851919,2
"Boavista",48,42,58,-16,"POR",1,18,8,1345.24804688,1.48529411764706,2
"Moreirense",46,42,41,1,"POR",1,18,9,1460.36975098,1.04411764705882,2
"Rio Ave",45,48,50,-2,"POR",1,18,10,1450.0300293,1.19117647058824,2
"Estrela Amadora",44,30,44,-14,"POR",1,18,11,1367.9029541,1.26470588235294,2
"Estoril",39,41,47,-6,"POR",1,18,12,1470.43786621,1.57352941176471,2
"Famalicao",36,37,56,-19,"POR",1,18,13,1511.265625,1.14705882352941,2
"Farense",35,45,54,-9,"POR",1,18,14,1388.83337402,1.42647058823529,2
"Casa Pia",33,35,52,-17,"POR",1,18,15,1459.93005371,1.29411764705882,2
"AVS Futebol",33,33,56,-23,"POR",1,18,16,1353.67419434,1.36011958306829,2
"Nacional",32,32,53,-21,"POR",1,18,17,1410.2755127,1.3642936782928,2
"Gil Vicente",32,31,58,-27,"POR",1,18,18,1432.91479492,1.38235294117647,2
"Crvena Zvezda",56,56,17,39,"SRB",1,16,1,1580.66638184,1.20876629433131,1
"Backa Topola",56,45,27,18,"SRB",1,16,2,1247.67456055,1.34999713672654,1
"Partizan",54,67,31,36,"SRB",1,16,3,1354.12451172,1.28408751761422,1
"Zeleznicar Pancevo",53,42,32,10,"SRB",1,16,4,1139.875,1.2598165371043,1
"OFK",47,39,33,6,"SRB",1,16,5,1137.03930664,1.31440983403489,1
"Novi Sad",46,41,32,9,"SRB",1,16,6,1246.3963623,1.26925400099012,1
"IMT",44,41,36,5,"SRB",1,16,7,1137.99658203,1.27818851982652,1
"Kragujevac",43,33,34,-1,"SRB",1,16,8,1218.0826416,1.32907212363453,1
"Zlatibor",38,35,41,-6,"SRB",1,16,9,1108.2800293,1.3222305975592,1
"Novi Pazar",37,31,33,-2,"SRB",1,16,10,1200.30761719,1.23580799104047,1
